CODI_PROVINCIA,PROVINCIA,CODI_MUNICIPI,MUNICIPI,ESTACIO,CODI_CONTAMINANT,ANY,MES,DIA,DATE,DATETIME,HOUR,VALUE,HOUR2D,VALIDATION
8,Barcelona,19,Barcelona,4,7,2025,8,6,2025-08-06,2025-08-06T00:00:00Z,24,1,24,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T01:00:00Z,1,1,01,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T02:00:00Z,2,1,02,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T03:00:00Z,3,1,03,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T04:00:00Z,4,1,04,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T05:00:00Z,5,1,05,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T06:00:00Z,6,1,06,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T07:00:00Z,7,1,07,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T08:00:00Z,8,5,08,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T09:00:00Z,9,13,09,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T10:00:00Z,10,8,10,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T11:00:00Z,11,6,11,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T12:00:00Z,12,3,12,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T13:00:00Z,13,2,13,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T14:00:00Z,14,2,14,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T15:00:00Z,15,1,15,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T16:00:00Z,16,1,16,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T17:00:00Z,17,1,17,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T18:00:00Z,18,1,18,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T19:00:00Z,19,1,19,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T20:00:00Z,20,1,20,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T21:00:00Z,21,1,21,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T22:00:00Z,22,1,22,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T23:00:00Z,23,2,23,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,7,2025-08-07,2025-08-07T00:00:00Z,24,1,24,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T01:00:00Z,1,1,01,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T02:00:00Z,2,1,02,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T03:00:00Z,3,1,03,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T04:00:00Z,4,1,04,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T05:00:00Z,5,1,05,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T06:00:00Z,6,1,06,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T07:00:00Z,7,2,07,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T08:00:00Z,8,8,08,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T09:00:00Z,9,11,09,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T10:00:00Z,10,15,10,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T11:00:00Z,11,7,11,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T12:00:00Z,12,2,12,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T13:00:00Z,13,2,13,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T14:00:00Z,14,1,14,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T15:00:00Z,15,1,15,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T16:00:00Z,16,1,16,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T17:00:00Z,17,1,17,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T18:00:00Z,18,1,18,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T19:00:00Z,19,1,19,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T20:00:00Z,20,1,20,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T21:00:00Z,21,1,21,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T22:00:00Z,22,1,22,Valid
8,Barcelona,19,Barcelona,4,7,2025,8,8,2025-08-08,2025-08-08T23:00:00Z,23,1,23,Valid
